SMILES,luciferase_artifact,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,False,4.396390174579963,,4.446391223485836,
C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2O)C(=O)O,True,4.810029897405945,4.510030276850633,,
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,False,6.236946559700385,4.186956374551917,,
CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2.Cl,False,,,6.860120913598763,
CC1CC(CC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O.Cl,False,,,4.810029897405945,
C1=CC(=CC=C1C(CN)O)O.Cl,False,,,4.312894392355419,
CCCCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,False,4.448510966075284,,5.648512909550289,4.0956385788075735
CC(=O)NC(=O)C1=CC=CC=C1O,False,4.560029756289291,,,
CC1=CC(=C(C(=C1)C)C=O)C,False,,4.254354595552943,4.117420538365575,
CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,True,4.429086172107821,4.459307721749257,4.448864857638396,4.429086172107821
CN(C)CCC1=CNC2=C1C=C(C=C2)O,False,,4.708879896548084,4.758879556034719,
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,False,4.460029874171644,4.460029874171644,5.910024277312271,4.760030197409634
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OC,False,4.3988649544426,4.698865786166042,,4.548864726812244
CC(CC1=CC=CC=C1)NCCN2C=NC3=C2C(=O)N(C(=O)N3C)C.Cl,False,,,5.254207185533345,6.1542200328881105
C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,False,4.466154252489986,4.5161546276691436,,4.466154252489986
C1=CC=C(C=C1)C2=C(N=C(S2)N)N,False,4.510030276850633,,,5.460033632003287
CC1=CC=NC2=CC=CC=C12,False,4.399928192697783,,4.199928658690947,
CCCCCC1C(CCC1=O)CC(=O)OC,False,4.550999195565476,4.550999195565476,,
CCCN([C@@H]1CCC2=C(C1)C=C(C=C2)OC)C3CCN(CC3)C(=O)C4CCNCC4,False,,,4.998863636444484,4.423145748029465
CC1=CC2=C(C(=C1)O)C(=C3C(=C2)C=CC=C3O)O,False,4.740602051704119,5.310025555333226,,5.210031697910783
CC(CO)O,False,4.348864512263225,5.496222931403294,5.524721161124616,4.565056040302015
