MAE,RMSE,R2,Spearman,endpoint,fold,epochs,n_test,n_challenge,challenge_MAE,challenge_RMSE,challenge_R2,challenge_Spearman
0.644956310317982,0.8315860907152876,0.20657159342410214,0.42901916144944036,cyp1a2,1,14,251,251,0.644956310317982,0.8315860907152876,0.20657159342410214,0.42901916144944036
0.4544392814854269,0.6022550364702836,0.32979299725644096,0.5469519790776695,cyp2c9,1,14,264,264,0.4544392814854269,0.6022550364702836,0.32979299725644096,0.5469519790776695
0.6526713117542828,0.8931723701256226,0.10101439114046262,0.3580371285198982,cyp2d6,1,14,316,316,0.6526713117542828,0.8931723701256226,0.10101439114046262,0.3580371285198982
0.5837062376892083,0.744702096894384,0.5064638026623718,0.7208409495055537,cyp3a4,1,14,459,459,0.5837062376892083,0.744702096894384,0.5064638026623718,0.7208409495055537
