Smiles,PPB
HC12OCCC1(H)C(CO2)OC(=O)NC(CC1=CC=CC=C1)C(O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1,95.0000000
CCC(C(C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1,98.0000000
NC(CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,38.0000000
CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,99.0000000
COCCCOC1=C(OC)C=CC(CC(CC(N)C(O)CC(C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,49.5000000
CC1CCC23CCC(=O)C2C1(C)C(CC(C)(C=C)C(O)C3C)OC(=O)CSC1CC2CCC(C1)N2C,94.0000000
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,80.0000000
CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O,80.0000000
CCCCN(CCCC)CCC(O)C1=CC2=C(C=C(Cl)C=C2Cl)C2=C1C=CC(=C2)C(F)(F)F,65.0000000
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC,70.0000000
OC(=O)CCCCO\N=C(\C1=CC=CN=C1)C1=CC(=CC=C1)C(F)(F)F,60.0000000
COC1\C=C\OC2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,97.6999969
CN1CCN(CC1)C(=O)OC1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,45.0000000
CCNC1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,60.0000000
CC1=CC(=O)N(O)C(=C1)C1CCCCC1,95.5000000
HC12CCC(C)(O)C1(C)CC(O)C1(F)C2(H)CCC2=CC(=O)CCC12C,99.0000000
ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl,99.0000000
CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,99.0000000
CN(C)CC\C=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2,90.0000000
CCCCCOC1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(C=C1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1=CC=C(O)C(OS(O)(=O)=O)=C1)C(O)CC(N)=O,99.0000000
HC12CCC(C(=O)NC3=C(C=CC(=C3)C(F)(F)F)C(F)(F)F)C1(C)CCC1C2(H)CCC2(H)NC(=O)C=CC12C,99.0000000
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC,95.0000000
HC12SCC(COC(N)=O)=C(N1C(=O)C2NC(=O)C(=N\OC)\C1=CC=CO1)C(O)=O,50.0000000
CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\C(O)CC(O)CC(O)=O)N(C)S(C)(=O)=O,90.0000000
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,84.5000000
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,90.0000000
NC1=NC(F)=NC2=C1N=CN2C1OC(COP(O)(O)=O)C(O)C1O,24.0000000
CC(C)C(C)\C=C\C(C)C1CCC2C1(C)CCC\C2=C/C=C1/CC(O)CCC1C,99.0000000
HC12SCC(\C=C/C3=C(C)N=CS3)=C(N1C(=O)C2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(=O)OCOC(=O)C(C)(C)C,88.0000000
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,99.0000000
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,94.5000000
CCC(C)(C)C1N2C(=O)C(NC(=O)C3CC4C(CC5=CNC6=C5C4=CC=C6)N(C)C3)(OC2(O)C2CCCN2C1=O)C(C)C,98.5000000
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,99.0000000
CC(NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=C1C=CC=C2,95.0000000
NCC1(CC(O)=O)CCCCC1,3.0000000
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,30.0000000
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,99.5000000
CCC(=O)NCCC1CCC2=C1C1=C(OCC1)C=C2,82.0000000
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C2N(CCCCN3C=NC(=C3)C3=CC=CN=C3)C(=O)OC12C)OC,65.0000000
HC12OC3=C(OC)C=CC4=C3C11CCN(C)C(H)(C4)C1(H)CCC2=O,19.0000000
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,22.5000000
HC12CCC(O)C1(C)CCC1(H)C3=C(CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C21H)C=C(O)C=C3,99.0000000
OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1,17.5000000
CC1=CC=C(Cl)C(NC2=C(C=CC=C2)C(O)=O)=C1Cl,99.0000000
CCCC1(CCC2=CC=CC=C2)CC(=O)C(C(CC)C2=CC(NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)=CC=C2)=C(O)O1,99.5000000
