MAE,RMSE,R2,Spearman,endpoint,fold,epochs,n_test,n_challenge,challenge_MAE,challenge_RMSE,challenge_R2,challenge_Spearman
0.7006321363570017,0.9108946836946163,0.04801600560639119,0.37640371845949533,cyp1a2,1,5,251,251,0.7006321363570017,0.9108946836946163,0.04801600560639119,0.37640371845949533
0.4589674937285873,0.6051175351949241,0.3234069123613815,0.575349085952429,cyp2c9,1,5,264,264,0.4589674937285873,0.6051175351949241,0.3234069123613815,0.575349085952429
0.6735247217758983,0.908731094131668,0.06942162323933765,0.35824325018111713,cyp2d6,1,5,316,316,0.6735247217758983,0.908731094131668,0.06942162323933765,0.35824325018111713
0.6176284826818642,0.7699265022879372,0.47246364369439986,0.7051165786230953,cyp3a4,1,5,459,459,0.6176284826818642,0.7699265022879372,0.47246364369439986,0.7051165786230953
